,BSG,group
TP6A,0.8024012851033993,Progressive
TP6B,1.002281241406744,Progressive
TP7A,0.5630386126121469,Progressive
TP7B,0.6654137920158545,Progressive
TP9B,0.527867477085078,Progressive
NS0A,0.6726284790683263,Stable
NS0B,0.8749752464088539,Stable
NS1A,0.7875487165079142,Stable
NS1B,0.8216909362654219,Stable
TS2A,0.670894224793131,Stable
TS2B,0.6688640232009254,Stable
TS3A,0.581403987720846,Stable
TS3B,0.8061899036115476,Stable
TS4B,0.8418443254037501,Stable
TS5A,0.9445802050940281,Stable
TS5B,0.8816495631605968,Stable
