group,CD95,CD45RA,CD27,CD38,CD127,CD94
healthy,0.0595316292825554,0.198875490713176,-0.242274144119094,0.165161806880245,-0.35911012566749,-0.0689613849122154
healthy,-0.117396886000841,0.199698663375208,-0.585765988763475,0.097721466468292,-0.358232442958355,0.235834306202701
healthy,0.0149398467832135,0.574302371052973,-0.430645818794561,0.165220426810919,-0.344086933722978,0.510948140371501
healthy,0.468239854163131,-0.117103401701357,-0.606818256493123,0.219309623491267,-0.549340473700981,0.300183382021035
healthy,-0.532952888713652,-0.147834824628842,0.609488621356707,-0.250463762634186,0.654292270306567,-0.37970590373577
moderate,0.113743309401127,0.370814416586827,-0.41673134732997,0.322428382085832,-0.538039244613927,0.189933731873143
moderate,-0.0231859133372807,0.0800481168578857,-0.327761213883604,0.540523544167273,-0.259621259278835,0.163842750256723
moderate,0.431068408509671,-0.0637661062345754,-0.538460768981512,0.287792768874639,-0.466652830593078,0.448808209936937
severe,-0.0885217476581174,0.0012966806539672,0.362260573755526,-0.221095791608582,0.113608820198355,-0.69214436595308
severe,-0.173686098012682,-0.176310666757028,-0.0495189042764807,-0.376693062857754,-0.193010946724802,-0.395881082598724
severe,0.387824537134289,-0.108151129266654,-0.603853050053876,0.491170642654488,-0.80117663819141,0.395858133460573
