,DPP4,BSG,group
TP6A,0.08226811553535869,0.47287304110697065,Progressive
TP6B,0.16232806338617886,0.42192898123656775,Progressive
TP7A,0.055079172318277615,0.35276711649530096,Progressive
TP7B,0.10114323378873548,0.43506956889196396,Progressive
TP9B,0.0776987426538469,0.3528063704050167,Progressive
NS0B,0.10836253745726875,0.43918190873979573,Stable
NS1A,0.06231928914110056,0.3978234630265035,Stable
NS1B,0.09287547126585513,0.36722361563123573,Stable
TS2A,0.15890442037983676,0.5234054841155331,Stable
TS2B,0.12619158070235764,0.41188679436088366,Stable
TS3A,0.1383897412224731,0.5196791891451872,Stable
TS5A,0.11654076534362916,0.5518163253786832,Stable
